id,name,latitude,longitude,locality_verbose,cuisines,average_cost_for_two,price_range,aggregate_rating,votes,all_reviews_count,photo_count,establishment,establishment_types
19114288,King Sandwich,13.0391853773,80.1785763726,Valasaravakkam/ Chennai,Sandwich/ Fast Food,350,1,3.1,6,1,1,Quick Bites,
66961,Chit Chat,13.0420659225,80.1800599694,Valasaravakkam/ Chennai,Bakery/ Desserts/ Ice Cream,450,1,2.8,49,26,23,Dessert Parlour,
19365977,Chat Cups,13.0443800000,80.1646560000,Porur/ Chennai,Fast Food/ Beverages,100,1,0,0,0,0,Quick Bites,
19341059,Cheese And Spicy World,13.0360160000,80.1723680000,Ramapuram/ Chennai,Sandwich/ Fast Food/ Beverages,400,1,3.9,107,99,0,Quick Bites,
18707263,Nalabhojanam,13.0386885705,80.1786353812,Valasaravakkam/ Chennai,South Indian,250,1,3.1,9,2,0,Quick Bites,
19126934,The Chennai Sandwich Shop,13.0359399468,80.1723083854,Ramapuram/ Chennai,Sandwich/ Fast Food/ Street Food/ Beverages,250,1,4.1,440,243,2,Quick Bites,
19255917,Family Recipes,13.0484416000,80.1656727000,Maduravoyal/ Chennai,North Indian/ South Indian/ Chinese,500,2,3.3,10,9,3,,
19364171,Pandiyan,13.0437510000,80.1808760000,Valasaravakkam/ Chennai,North Indian,150,1,0,1,1,0,,
19291349,Hot And Cold,13.0495670000,80.1664450000,Porur/ Chennai,Beverages/ Juices/ Sandwich,350,1,0,3,0,0,,
18538273,Hotel Muraa,13.0485088939,80.1655700058,Maduravoyal/ Chennai,Chinese/ North Indian/ South Indian,550,2,2.8,81,50,3,Quick Bites,
19016384,Shoppers Cafe,13.0377717000,80.1782167000,Valasaravakkam/ Chennai,Beverages/ Sandwich/ Pizza,300,1,3.4,13,10,1,Beverage Shop,
18731158,Cake Square,13.0430105276,80.1640126482,Valasaravakkam/ Chennai,Bakery/ Desserts,400,1,0,3,3,1517,Bakery,
18783483,Pizza Square,13.0430007288,80.1640106365,Valasaravakkam/ Chennai,Pizza/ Fast Food,300,1,3.1,6,0,2,Quick Bites,
19195677,2Idly 1Vadai Restaurants,13.0501720000,80.1664160000,Maduravoyal/ Chennai,South Indian,150,1,3.3,7,2,0,Quick Bites,
18625210,Get 2 Gether,13.0428873895,80.1636891067,Porur/ Chennai,Fast Food/ Italian/ Beverages,350,1,3.5,25,8,28,Quick Bites,
18352012,Thashu's Biriyani Hub,13.0438496292,80.1635513082,Porur/ Chennai,Biryani,500,2,0,1,0,0,,
19157087,Tenkasi Parotta Restaurants,13.0419731603,80.1812924445,Valasaravakkam/ Chennai,South Indian/ Biryani/ Street Food/ Juices/ Beverages,650,2,3.1,24,10,13,Casual Dining,
19356119,Podiyum Idliyum,13.0417070000,80.1812370000,Ramapuram/ Chennai,South Indian,200,1,0,0,0,0,Quick Bites,
18596733,Arabian Kitchen,13.0431748206,80.1634953171,Maduravoyal/ Chennai,Biryani/ Fast Food/ Chinese,200,1,3.0,6,1,0,Quick Bites,
19345916,Tea Villa,13.0416240000,80.1812550000,Valasaravakkam/ Chennai,Cafe,150,1,0,0,0,0,Café,
19093861,Hotel Shanmugha Bhavan,13.0504045836,80.1663324237,Maduravoyal/ Chennai,South Indian/ Chinese,200,1,0,2,0,0,Quick Bites,
18878369,Spazio Restaurant,13.0381917627,80.1655824110,Porur/ Chennai,Continental/ Italian/ Pizza/ Steak/ Thai/ Asian,800,2,3.8,127,70,336,Casual Dining,
19035903,Hotel Shanmuga Bhavan,13.0508430000,80.1666550000,Maduravoyal/ Chennai,South Indian,300,1,0,1,0,0,Quick Bites,
19185120,SubC,13.0418683128,80.1635482907,Porur/ Chennai,American/ Salad,400,1,0,1,1,1,,
18979960,CrossRoad,13.0418683128,80.1635482907,Porur/ Chennai,Chinese/ North Indian,250,1,3.6,53,29,2,,
68275,Ganga Sweets,13.0424634280,80.1816263795,Valasaravakkam/ Chennai,Mithai/ South Indian/ Chinese/ Street Food/ Beverages,300,1,3.7,86,48,31,Sweet Shop,
19242601,McCafe by McDonald's,13.0425728480,80.1816843823,Valasaravakkam/ Chennai,Coffee/ Cafe/ Beverages/ Desserts/ Tea,500,2,0,3,2,1,Café,
68274,McDonald's,13.0425150350,80.1817031577,Valasaravakkam/ Chennai,Burger/ Fast Food,500,2,3.7,438,182,160,Quick Bites,
19337927,Saint Pope Johnpaul II,13.0353820000,80.1692320000,Porur/ Chennai,Fast Food/ Beverages,150,1,3.2,4,3,3,Quick Bites,
19288587,Crazy Foods,13.0418074801,80.1633897671,Porur/ Chennai,Fast Food/ Beverages,350,1,3.3,12,11,9,,
19155705,Hot Bite,13.0429030000,80.1818950000,Valasaravakkam/ Chennai,Fast Food,250,1,0,0,0,0,Quick Bites,
19285112,Moms Kitchen,13.0347220000,80.1721940000,Porur/ Chennai,South Indian/ Chinese,200,1,0,0,0,0,Quick Bites,
71704,Raspberry Ice Cream Cafe,13.0445195366,80.1820018888,Valasaravakkam/ Chennai,Ice Cream/ Fast Food/ Street Food,300,1,3.5,41,29,13,Dessert Parlour,
19364755,Arcot Dum Biryani And Fast Food,13.0346080000,80.1729330000,Ramapuram/ Chennai,Chinese/ Biryani,200,1,0,0,0,0,,
19157589,Nalapagam Restaurant,13.0346795000,80.1738480000,Ramapuram/ Chennai,South Indian/ Chinese,400,1,0,0,0,0,Quick Bites,
70900,Aaram Restaurant,13.0463999057,80.1817799360,Valasaravakkam/ Chennai,South Indian,500,2,3.7,99,55,24,Quick Bites,
18566274,Taste D Roll,13.0077274722,80.2128697559,Guindy/ Chennai,Fast Food/ Beverages,250,1,0,2,0,0,,
18540446,GK Veg Restaurant,13.0098096762,80.2113090456,Pallavaram/ Chennai,South Indian/ North Indian/ Chinese,200,1,3.2,11,0,1,Quick Bites,
18541461,Hotel Velcome,13.0097786425,80.2112490311,Guindy/ Chennai,South Indian,250,1,0,1,0,0,Casual Dining,
65493,Sangeetha Veg Restaurant,13.0084448448,80.2105077356,Guindy/ Chennai,South Indian/ North Indian/ Chinese/ Chettinad,500,2,4.0,323,177,130,Casual Dining,
67594,Sree Nithyasree Hotel,13.0106459503,80.2117824554,Guindy/ Chennai,South Indian,150,1,0,2,2,2,Quick Bites,
19366086,Sri Maheswari Hotel,13.0061660000,80.2117530000,Guindy/ Chennai,South Indian,150,1,0,1,1,0,Quick Bites,
18517188,Al Arabian Delights,13.0068140933,80.2097087726,Guindy/ Chennai,Arabian/ Biryani/ North Indian/ Chinese,400,1,3.6,166,118,28,Casual Dining,
18854391,Aura -Klase Hotels,13.0107589777,80.2151197940,Guindy/ Chennai,South Indian/ North Indian/ Chinese/ European,700,2,3.3,13,4,6,Casual Dining,
19211213,Sandy's Biryani-N-Grill,13.0066131886,80.2096866444,Guindy/ Chennai,Biryani/ South Indian/ Chinese/ Arabian,300,1,3.3,8,5,4,Quick Bites,
19197604,Undercover,13.0107263108,80.2153166011,Guindy/ Chennai,Continental/ South Indian/ North Indian/ Chinese,1400,3,3.7,38,26,68,Bar,
19274186,Taste Theory,13.0061787114,80.2098901570,Guindy/ Chennai,South Indian/ Chinese/ Chettinad/ North Indian,350,1,3.7,33,24,20,Quick Bites,
68744,The Moon And Sixpence - Hablis Hotel,13.0075723026,80.2084203064,Hablis Hotel/ Guindy/ Chennai,Irish/ Finger Food,2500,4,4.3,1146,551,432,Bar,
71412,Hearth - Hablis Hotel,13.0076640977,80.2083220705,Hablis Hotel/ Guindy/ Chennai,Cafe,1000,3,3.6,35,10,14,Café,
